iteration,penguin,length
83,2,658258.49
83,14,663390.42
83,7,656950.85
83,11,658522.71
83,3,658004.68
83,15,656545.31
84,4,662853.87
84,0,656069.84
84,8,660181.23
84,12,656322.19
84,5,658941.35
84,1,658422.68
84,9,656966.18
84,13,656444.05
84,6,652931.48
84,2,659479.01
84,10,656338.64
84,14,660661.44
84,7,654666.21
84,3,658980.82
84,11,659004.63
84,15,658522.83
85,4,661331.78
85,12,657154.52
85,8,658825.28
85,0,659042.37
85,5,654626.29
85,13,658140.35
85,9,659958.26
85,1,656359.26
85,6,659407.62
85,14,663396.91
85,10,659618.78
85,2,650316.77
85,7,656918.37
85,15,656133.81
85,11,659026.21
85,3,661408.99
86,4,660952.64
86,12,657987.66
86,0,652719.01
86,8,658842.19
86,5,653897.07
86,13,652644.23
86,1,656102.99
86,9,659443.94
86,6,655672.65
86,14,660253.20
86,2,656368.42
86,10,654985.94
86,7,657592.38
86,15,661528.72
86,3,658168.68
86,11,656097.23
87,8,657620.64
87,0,653924.39
87,12,658661.08
87,4,660241.23
87,9,659469.81
87,1,654600.85
87,13,662238.89
87,5,654065.02
87,10,655580.71
87,2,656990.57
87,14,662684.84
87,6,654361.53
87,11,660348.70
87,3,658444.69
87,15,655235.24
87,7,658446.16
88,4,658325.54
88,8,661526.44
88,12,655444.36
88,0,657273.34
88,5,659263.09
88,9,658092.46
88,13,656168.68
88,1,660558.11
88,6,655435.90
88,10,658541.58
88,14,661361.18
88,2,653415.28
88,7,659001.78
88,11,657948.95
88,15,655904.68
88,3,652219.65
89,8,658033.76
89,0,657398.51
89,12,653329.45
89,4,661531.24
89,9,657223.25
89,1,658844.51
89,13,656157.49
89,5,660562.44
89,10,658078.37
89,2,653971.52
89,14,657752.29
89,6,659369.95
89,11,655894.98
89,3,658869.06
89,15,655728.32
89,7,653938.01
90,8,656817.35
90,0,656020.04
90,4,664064.79
90,12,654361.52
90,9,660172.20
90,1,658039.85
90,5,658359.97
90,13,658023.50
90,10,654719.90
90,2,658046.57
90,6,652778.39
90,14,657715.25
90,11,658625.62
90,3,659186.75
90,7,655446.91
90,15,653881.27
91,4,662338.91
91,0,653626.91
91,8,659205.81
91,12,657446.10
91,5,658082.68
91,1,652387.60
91,9,655320.33
91,13,659032.10
91,6,655729.71
91,2,659097.63
91,10,660086.60
91,14,661200.37
91,7,656858.74
91,3,657852.78
91,11,655701.51
91,15,653193.05
92,8,660270.26
92,12,662774.81
92,0,661147.52
92,4,660911.37
92,9,659276.27
92,13,659135.29
92,1,655106.45
92,5,654286.53
92,10,656675.45
92,14,659451.60
92,2,658335.04
92,6,658157.89
92,11,656540.56
92,15,658694.43
92,3,657411.78
92,7,652041.58
93,4,659906.54
93,0,659028.15
93,8,658578.77
93,12,658885.79
93,5,658528.28
93,1,655203.36
93,9,656909.98
93,13,658661.13
93,6,658543.22
93,2,656113.61
93,10,658675.80
93,14,658307.08
93,7,655889.75
93,3,658639.82
93,11,654752.35
93,15,658111.66
94,8,659248.00
94,0,657794.88
94,12,661612.82
94,4,660631.53
94,9,657595.91
94,1,657153.98
94,13,660952.88
94,5,654666.13
94,10,656873.46
94,2,653229.35
94,14,666453.78
94,6,656114.38
94,11,657128.10
94,3,659182.13
94,15,653784.32
94,7,655983.19
95,4,664767.23
95,0,657484.03
95,8,656730.10
95,12,658138.58
95,5,657374.29
95,1,658306.84
95,9,660571.05
95,13,659294.84
95,6,660467.98
95,2,657102.08
95,10,653724.01
95,14,658920.89
95,7,660635.18
95,3,659802.22
95,11,656048.94
95,15,657556.80
96,4,663355.00
96,8,661837.56
96,0,653733.98
96,12,660760.68
96,5,657965.57
96,9,661814.08
96,1,657862.42
96,13,659529.28
96,6,658379.40
96,10,656490.58
96,2,657220.09
96,14,664029.01
96,7,659013.70
96,11,655066.08
96,3,660082.37
96,15,652828.94
97,4,660324.17
97,12,660500.74
97,8,656729.72
97,0,656927.68
97,5,652660.11
97,13,659220.68
97,9,660407.62
97,1,656074.25
97,6,656993.87
97,14,658728.63
97,10,660635.48
97,2,661071.71
